path,label
face_dataset\ina\b803a80ba1daaf8a7a21768bbab45af9.png-2.jpg,ina
face_dataset\fauna\cf53a957805717833d6ab8f467cec86e.jpg-1.jpg,fauna
face_dataset\nerissa\521e52fdd5d89e2c6fa06b7294f0d1d8.jpg-1.jpg,nerissa
face_dataset\shiori\6bd70a6cb9ceb2c57064e73fbef59b29.jpg-1.jpg,shiori
face_dataset\irys\27c9bf4058b80765975f081cf28b280d.jpg-1.jpg,irys
face_dataset\calli\9cfed431241af0c55cc78e4d5754821a.jpg-1.jpg,calli
face_dataset\sana\e4d6c27f2c23e566d7f89ab84213963d.jpg-1.jpg,sana
face_dataset\raora\1ca52931179e6286e5c9b540c96c5a4d.png-1.jpg,raora
face_dataset\nerissa\0ee2169baee24d7683e2bb1e83056fc4.jpg-1.jpg,nerissa
face_dataset\nerissa\51529c8ba917cd6c0112e411bf36e37c.jpg-1.jpg,nerissa
face_dataset\irys\23141bf4811f161b7a15d34a9c213673.png-1.jpg,irys
face_dataset\gigi\c7246bdef148c6b32c4a31480c4c53c3.jpg-2.jpg,gigi
face_dataset\nerissa\41e04e24ab09ba10b980cc2b4e9cbc4a.jpg-1.jpg,nerissa
face_dataset\fuwawa\60773abfb4148576bfc61bd3e08f7221.jpg-3.jpg,fuwawa
face_dataset\ame\21cad65abf8302eb9d8d14547496cea9.jpg-1.jpg,ame
face_dataset\irys\b0885eea650dd96d61126aa0fa82f999.jpg-1.jpg,irys
face_dataset\kiara\a0e9e3bb58a2bc800115cef5b53cf647.jpg-7.jpg,kiara
face_dataset\bae\d48d9e961a3cba0d7ce07d7721176494.jpg-2.jpg,bae
face_dataset\kiara\d2a0aa63edabbe1afb9415b3c5488964.jpg-1.jpg,kiara
face_dataset\ceci\3153b45120153c8ffa349cb471a64bff.png-1.jpg,ceci
face_dataset\gigi\a7cf509ea1d2f2ae8bdaac126f134098.jpg-3.jpg,gigi
face_dataset\nerissa\a4863d56bce3b6fb129422483fef6d9a.jpg-1.jpg,nerissa
face_dataset\calli\cb01f336a06eb34ddc8e1a2a78c1fae5.jpg-1.jpg,calli
face_dataset\calli\dd4b5534ad2904f40535b6095b6ea109.jpg-9.jpg,calli
face_dataset\biboo\74e7fd61c38a746e4c0236d66a75da1e.jpg-2.jpg,biboo
face_dataset\ina\bafdb749537d52b1232ee4a4049eb2c6.jpg-1.jpg,ina
face_dataset\ceci\3594618190b73897b035d0a968653c69.jpg-1.jpg,ceci
face_dataset\bae\34e748b7b7072f72136e5edeeaa3c5b4.png-1.jpg,bae
face_dataset\ceci\49f66f9022df52e1ea336a720886ffce.jpg-2.jpg,ceci
face_dataset\sana\7f4684bda4bf30f4bd2c486a30bd9c0f.jpg-2.jpg,sana
face_dataset\raora\5d7b21ad34c8f3eb19fe2f759b42535f.jpg-5.jpg,raora
face_dataset\gigi\611893710fa929c98e68da48ce7e27c4.jpg-1.jpg,gigi
face_dataset\kiara\c762bff61dcd3a91d7fabee2d10c721a.jpg-2.jpg,kiara
face_dataset\irys\a8228da18b667e7f4970faebad8eb890.png-1.jpg,irys
face_dataset\ina\e48e093c4495f4fad22face733702887.jpg-1.jpg,ina
face_dataset\ceci\10900a2696973642e273cf14940a544c.jpg-1.jpg,ceci
face_dataset\gigi\46270190bbab2db84ccc49effa9b29d4.png-1.jpg,gigi
face_dataset\sana\8fd9e4c84b7bea8943fbbf8064f9dc18.jpg-5.jpg,sana
face_dataset\shiori\ff401f0ba2a814769aa2c2018730ee3e.jpg-1.jpg,shiori
face_dataset\erb\8b87523b415ff37449ef8de2b856523c.jpg-1.jpg,erb
face_dataset\ame\34491a7d6d0de7acf7c6e301ea5e085e.jpg-1.jpg,ame
face_dataset\gigi\74a9d5aae94a945e23c0664aaf3f7b44.jpg-3.jpg,gigi
face_dataset\mococo\0ac862dcc58a6a75b3a20a1f9b562eb3.jpg-2.jpg,mococo
face_dataset\irys\91f8610973e29f3260c5c60763741fb5.jpg-1.jpg,irys
face_dataset\ina\3c4ab0eb5bb349411903ea8586d5bbe6.jpg-1.jpg,ina
face_dataset\mumei\d08023f769911acec87c8d19d67d6133.jpg-4.jpg,mumei
face_dataset\bae\adf457711557c9d6cbab6c9dd2535ef2.png-1.jpg,bae
face_dataset\nerissa\bbbb0ddc8ab08e88abb81c9f4a0b871d.jpg-1.jpg,nerissa
face_dataset\erb\fe298ccf1a8ff8415a41dbe58723bdd6.jpg-1.jpg,erb
face_dataset\kronii\4171921ed98c7cd065b1c904d7e0116e.png-1.jpg,kronii
face_dataset\erb\f7c6fb5763de1ceea3aa118eb6d5af56.jpg-1.jpg,erb
face_dataset\shiori\23734e31caa5f9f084f8a1b4ed62c086.jpg-1.jpg,shiori
face_dataset\gigi\0116e98a685536f2fd08408cddcedf7d.jpg-1.jpg,gigi
face_dataset\irys\3461b015b7f552e1d6159677ed267afd.png-1.jpg,irys
face_dataset\gura\70f40d25743f896fdc3355fa5e54e1c4.jpg-1.jpg,gura
face_dataset\bae\fa09535399f17a6fea6d10e2a6695a31.jpg-1.jpg,bae
face_dataset\fuwawa\89f79f7560cec91f5d4452e879a5dceb.jpg-19.jpg,fuwawa
face_dataset\kiara\1f8838107ad7c5c45cb2fb07de0de3b2.png-1.jpg,kiara
face_dataset\bae\70e6e599c0be699e30fe01d9756c8d56.png-1.jpg,bae
face_dataset\gura\dfdc65781da46171444b295f0c1a80cc.jpg-1.jpg,gura
face_dataset\gura\2fd555158104c0c6933b46639e35b493.png-1.jpg,gura
face_dataset\raora\eac4cc659aa5e118b29449f3c97e41a5.png-2.jpg,raora
face_dataset\kronii\2d491c9e17fc4ade1a5f5dc91d327301.jpg-1.jpg,kronii
face_dataset\bae\a2a13dfc6b792767de13d80a8048f3ed.png-1.jpg,bae
face_dataset\irys\41b671f5d87053ab8865f2fc811499bd.jpg-1.jpg,irys
face_dataset\fuwawa\eb1320c8d8f81ca289a8382c3d97e602.jpg-2.jpg,fuwawa
face_dataset\ame\c5490106cf269834b43c0876d2ee5298.jpg-2.jpg,ame
face_dataset\raora\fb5aee1625bd627aa0f37f558e19de77.jpg-1.jpg,raora
face_dataset\fuwawa\a6c108a17aec2fe0010353e68caae3e2.jpg-6.jpg,fuwawa
face_dataset\shiori\f9dbda6c7322938ebdcb3e7075491f74.jpg-1.jpg,shiori
face_dataset\shiori\099afb839ab0789d2b3abe8fb2e9fcb5.jpg-2.jpg,shiori
face_dataset\bae\31999f90c2f1f1b4769ce43985584c77.jpg-1.jpg,bae
face_dataset\bae\ba0949639e15acfbc3b0030e07a4581c.jpg-1.jpg,bae
face_dataset\ame\fd7ccdf6b4a8951da1247fecd3738397.jpg-1.jpg,ame
face_dataset\ina\ac775db64c89f7c4a0b1bb22314cf22e.png-1.jpg,ina
face_dataset\gigi\bf79c922dfa9bb416d007b24d23ac8ea.jpg-1.jpg,gigi
face_dataset\ame\59183cd1849d4a96aaecf553c9117899.jpg-1.jpg,ame
face_dataset\biboo\f73e7ce110155934951eddce77fe4501.jpg-2.jpg,biboo
face_dataset\mococo\67cb52e8d15d20cc203d91d51b9d383f.jpg-1.jpg,mococo
face_dataset\gura\477bf2ca958153957f90edd3f7aef5ca.png-1.jpg,gura
face_dataset\ceci\b0d2b80080ea789fb280792938d16a74.png-1.jpg,ceci
face_dataset\biboo\76b177ff4c9d3c5d6814afc5c1bd2535.jpg-1.jpg,biboo
face_dataset\shiori\22ab8473eee0afb7a65c595b2c8d0403.jpg-1.jpg,shiori
face_dataset\fuwawa\90d4170a45d010e047c26257e69cde65.jpg-1.jpg,fuwawa
face_dataset\ame\025fc1d2f09039a2f90a43ca8c0a4ede.jpg-1.jpg,ame
face_dataset\kiara\7f5c85d88880da123e936578209801be.jpg-1.jpg,kiara
face_dataset\kiara\b2ea1e26939b1e87ae10f788ba870a21.jpg-1.jpg,kiara
face_dataset\calli\5ea6992d9b1aa29e211e51279b89f4ca.jpg-1.jpg,calli
face_dataset\bae\ba7d6940251fa904369cc5dd3bdaa667.jpg-1.jpg,bae
face_dataset\ceci\1a3cdcb77020301b35ceb9ac48da9cda.png-1.jpg,ceci
face_dataset\erb\88946739f536697467319ed6ed98e70a.jpg-1.jpg,erb
face_dataset\ceci\1d2e3df94f0a828878c0b4e162ea4930.png-1.jpg,ceci
face_dataset\biboo\186a4b6a89c9b43fc5c5d5d6b9eedb39.jpg-10.jpg,biboo
face_dataset\mumei\57bb39b5c5c08c18e86910ecf1ba1cf8.jpg-1.jpg,mumei
face_dataset\ame\a2b1bb3c4402946b46f4c83a538be1f7.png-1.jpg,ame
face_dataset\gigi\dff656d56a80a70d93694dc188b5652c.jpg-1.jpg,gigi
face_dataset\shiori\a0e5e94e2f2bc9a0011188bf1d1df46d.png-1.jpg,shiori
face_dataset\mumei\c58075f0ca8eece0e0fa246b9cfe0459.jpg-1.jpg,mumei
face_dataset\calli\7438c2b8c5496c3dc38926c3dbd4b1fc.jpg-1.jpg,calli
face_dataset\bae\e16cbaba83c7976380d72cfdcd5d200d.jpg-1.jpg,bae
face_dataset\biboo\cf79cd0be1bd8ce6ba910d1339ab6b92.jpg-1.jpg,biboo
face_dataset\mumei\0f10aab3ad773266474f675faccb5ece.jpg-1.jpg,mumei
face_dataset\fauna\a102a3e31dbdca835338985481bf1458.png-1.jpg,fauna
face_dataset\calli\a8c470d6fcf93729bc7b5a2ca9b98cd2.jpg-4.jpg,calli
face_dataset\ceci\eda8d2ff433a4af28ea62bb5ea0aff09.jpg-1.jpg,ceci
face_dataset\ame\a4c2c30f1edcf955fa2a54cb27f1e9ad.png-1.jpg,ame
face_dataset\erb\c47b2285d6ec759d105e0a22d5c4b2d5.jpg-2.jpg,erb
face_dataset\biboo\74be036fa40f7e0d4b0af1e1c8156da6.jpg-1.jpg,biboo
face_dataset\mumei\c98ee3bcc1c9382ce53ee6b9cd678326.jpg-1.jpg,mumei
face_dataset\ina\375bf68cc1613afa71cdd296ba00fe11.jpg-1.jpg,ina
face_dataset\ame\5a2c2555b728480603549bac086f1e4e.jpg-1.jpg,ame
face_dataset\gigi\56e96a8ec7718a536c686b369d1ab383.jpg-1.jpg,gigi
face_dataset\gura\012930e5cbfdb0121516ff7df27be5fd.jpg-1.jpg,gura
face_dataset\irys\135f5cf31b6336419f0eabef4e59d596.jpg-1.jpg,irys
face_dataset\kronii\579fb068d344ee230f0678aee7b6187e.jpg-1.jpg,kronii
face_dataset\bae\829f06e344c35844e57c41cd53b334f5.jpg-1.jpg,bae
face_dataset\biboo\f7e666977c5b367f6cbd663862e274f9.jpg-2.jpg,biboo
face_dataset\calli\ef0c13fd1814d659584da82fab6a25aa.jpg-1.jpg,calli
face_dataset\ceci\48312bcb8f64199118a5bcd45efad1bc.jpg-1.jpg,ceci
face_dataset\raora\b01441a823ce7bd8bd72038656de9a84.jpg-1.jpg,raora
face_dataset\biboo\72e6ed460b548f8c0acb74483e48dcd1.jpg-4.jpg,biboo
face_dataset\erb\a45f7dc4c954dee2cc16bdfb2c73e797.png-1.jpg,erb
face_dataset\mococo\bad40f814303d787201c0350bff7f5df.png-1.jpg,mococo
face_dataset\nerissa\21e99d314954c9d1f0fccd71de0a86bd.jpg-3.jpg,nerissa
face_dataset\ame\eca75573231225af24fcd0597eacf6a8.png-2.jpg,ame
face_dataset\gura\adc6d762f6d802c8c6671b19ef161465.jpg-1.jpg,gura
face_dataset\ina\b189103bc4fed5ff5e6e24ea751bdaed.jpg-4.jpg,ina
face_dataset\erb\5d5b081a2138602700e0567756aed2a2.jpg-1.jpg,erb
face_dataset\fauna\872f126ef04426b7a418b966482af41c.jpg-2.jpg,fauna
face_dataset\raora\0e9c515bf4890cf7cf7100bb86f13929_justice.jpg-3.jpg,raora
face_dataset\erb\0551a6772410ab0972792878e1a69b3b.jpg-4.jpg,erb
face_dataset\gura\dadfc7f9c1f5e481cf004fcf73f4c95a.jpg-1.jpg,gura
face_dataset\mumei\078f474585e071a7de8d5e21b2cdbf74.jpg-1.jpg,mumei
face_dataset\mococo\fae0884a6a97a762172d44a243ade008.png-2.jpg,mococo
face_dataset\shiori\4ab0740e6374814c1a36e88186adf4ae.png-1.jpg,shiori
face_dataset\sana\010b549cfca348038085fe771a38e299.jpg-3.jpg,sana
face_dataset\erb\3c342111c2afa940ee25ff409b912347.png-3.jpg,erb
face_dataset\kiara\baf82679a23ac727bb9aa9e179e7fbf4.png-1.jpg,kiara
face_dataset\ina\3d584a9cc7ca91cb23bcfa23b2657fdb.jpg-1.jpg,ina
face_dataset\ceci\119fe9e5d0351ab815d44698672be6bf.jpg-1.jpg,ceci
face_dataset\bae\b02d1a1a9df4f556452017d08c578e6a.jpg-1.jpg,bae
face_dataset\raora\9fdbc7f3cdcfb636e2d4fa4ec1addd46.jpg-2.jpg,raora
face_dataset\nerissa\4b4463c2d5c43445c03210b1625352d0.jpg-1.jpg,nerissa
face_dataset\mococo\f6a7d30d53576003b2178d50c729b610.png-1.jpg,mococo
face_dataset\kronii\5c9da993a84da8159249ef9dd20adc55.jpg-1.jpg,kronii
face_dataset\shiori\8a46ef0acf2c9098bea4f609273d16d4.jpg-1.jpg,shiori
face_dataset\raora\df7ec40f673460e26f1475b3508edcde.jpg-1.jpg,raora
face_dataset\raora\16da3d6e535b13bfd6a831f670854e29.png-1.jpg,raora
face_dataset\sana\c8195e83a0d050e42f6fbfd7724ae039.jpg-1.jpg,sana
face_dataset\fauna\1d61075efb54faed71ce809922871562.jpg-1.jpg,fauna
face_dataset\erb\f47f6a959aad15f7dab277eab7c5b7fd.png-5.jpg,erb
face_dataset\ina\798201a1e812ef6acec6ec5d366cda5d.jpg-3.jpg,ina
face_dataset\bae\02ecb15d78a8d73c384249b0c6d52f8e.jpg-1.jpg,bae
face_dataset\nerissa\ee7e62ed167d7a4752eb20681c8e120b.png-1.jpg,nerissa
face_dataset\nerissa\e6dc275cb844869e5553feddc6095554.jpg-1.jpg,nerissa
face_dataset\mococo\b353dc03eb461ef6d591cb0cf5b86ee4.png-8.jpg,mococo
face_dataset\gura\416d28c2d21632ef8ddc088d85b7d41e.png-1.jpg,gura
face_dataset\ame\5ecd6c3a38ca92b166044216abef2905.jpg-2.jpg,ame
face_dataset\sana\dc8601659de1d6da0156330d1053646c.jpg-19.jpg,sana
face_dataset\fauna\3eb0ead3b25bcea857bed338128e32a0.jpg-1.jpg,fauna
face_dataset\fuwawa\0d6fcfae45396ec49d760d92a8b21733.jpg-2.jpg,fuwawa
face_dataset\mumei\87b35eca9d2fbbd49121648601d2f969.jpg-1.jpg,mumei
face_dataset\mumei\a2d58d61248bbea0056c7a4ebfc97769.png-1.jpg,mumei
face_dataset\ina\55d0e0b0eb1f5dfa0b0c51fb19424536.jpg-5.jpg,ina
face_dataset\calli\37b048e6fd9591f003728aee226cee77.jpg-1.jpg,calli
face_dataset\biboo\f6e044596ca7e6788101d6527caf7705.png-1.jpg,biboo
face_dataset\shiori\ac2cd999f04e21d252adcf42928fb9c5.png-1.jpg,shiori
face_dataset\mumei\cfaae6d776b2f021656e5af9eb42c919.png-1.jpg,mumei
face_dataset\erb\41d8e3740acac58c4cbf6477bfc95c86.png-1.jpg,erb
face_dataset\ina\362d2d34414bcb91bdfb9a5353b700df.jpg-1.jpg,ina
face_dataset\sana\685a149663efd33271d4d86dfcd18b11.jpg-3.jpg,sana
face_dataset\ceci\6444b79e7d32db0c0fa2e52ffb922ffe.jpg-1.jpg,ceci
face_dataset\shiori\8acda8dd5d596455503546c1d4841b3b.png-1.jpg,shiori
face_dataset\gura\64f00ca85dcf37334f0916921fe37704.jpg-1.jpg,gura
face_dataset\mumei\5bacae101f1b1e22275385b1d162d8ed.png-1.jpg,mumei
face_dataset\kronii\d09e96dcc6780a5007b37b6791b13f46.jpg-1.jpg,kronii
face_dataset\fuwawa\f0fa3017741a5d52740a5fb49d0b8909.jpg-1.jpg,fuwawa
face_dataset\nerissa\f45642b38392d866a364e434d3f4ff4a.jpg-1.jpg,nerissa
face_dataset\ame\0694666218b9fbed752076d36112227b.jpg-1.jpg,ame
face_dataset\ame\624b49b1ef81ccc0d40b7347785e4935.jpg-3.jpg,ame
face_dataset\erb\91389e064d8dc5dcdecdf667dfc5ebf3.png-2.jpg,erb
face_dataset\fauna\04d86f187c26da2ec88aa0858d7f9617.jpg-3.jpg,fauna
face_dataset\erb\0af0a99ad73982af60897f5b64f07fdf.jpg-1.jpg,erb
face_dataset\kronii\fc45b696d3f8a19cf095cea9927d08dd.jpg-1.jpg,kronii
face_dataset\kronii\82de1d938b740b00cb8a364abce86b1c.png-1.jpg,kronii
face_dataset\bae\bc98898a8b0bd607f97df89115f65b16.jpg-1.jpg,bae
face_dataset\kronii\9b505430bc0bf5cb5a34cb0684b2247e.jpg-1.jpg,kronii
face_dataset\gura\303b5a1397836dda05cae0ef39438de4.jpg-1.jpg,gura
face_dataset\kronii\21c00ef7cf49b08c905e3642c6584974.png-1.jpg,kronii
face_dataset\biboo\fa28426e6720b783b94499e5ccc46e00.jpg-1.jpg,biboo
face_dataset\nerissa\97f40149d033e777286f06aeb79a847d.jpg-1.jpg,nerissa
face_dataset\gura\44fa6497cb8029159d4646030dd4ab44.jpg-1.jpg,gura
face_dataset\erb\8dde55ad1de2f98db1589d6dc392b3f6.jpg-1.jpg,erb
face_dataset\bae\71e06fdb49f78947db5bb15df3e8c53b.jpg-1.jpg,bae
face_dataset\raora\ee39f450ff6272eb49cda122c944ebd9.png-1.jpg,raora
face_dataset\gura\e7ec99eecd17690778695b43f0aaafa3.jpg-1.jpg,gura
face_dataset\ina\9de40d4bfae5ca999aaeed28fa135a9e.png-1.jpg,ina
face_dataset\ame\354525aba99704223769b42c42757286.png-3.jpg,ame
face_dataset\ina\450baecedbd966631f8e7a0548a4ee0b.jpg-2.jpg,ina
face_dataset\gigi\d22b7076d6e010c60716edd3df3c2a19.jpg-1.jpg,gigi
face_dataset\shiori\2d6fd8200a460d05ed001a9ea816bb2b.jpg-1.jpg,shiori
face_dataset\ceci\beb0c5bd36b584912a43471d129bc971.jpg-1.jpg,ceci
face_dataset\ame\6d1e4d32789c7e0d556268547692a292.jpg-2.jpg,ame
face_dataset\shiori\e85472452d0854ede1fa81a7aece0fac.png-1.jpg,shiori
face_dataset\ceci\93bb062c96b5b1b54691dd1a0d7a0ad1.jpg-2.jpg,ceci
face_dataset\irys\44755f4aaff66098ef45131761865ea6.png-1.jpg,irys
face_dataset\bae\cd19620b6b55b4ab794b61f71d9f55e7.jpg-1.jpg,bae
face_dataset\biboo\29bbb4645ea707cd2c740e277d1a527c.jpg-1.jpg,biboo
face_dataset\ina\79e029eb924cbb4611bff3b0479b0d16.jpg-1.jpg,ina
face_dataset\erb\bb2110c4aff7809492ea7d1fcc8240be.jpg-2.jpg,erb
face_dataset\calli\6a6b1dc4c5a1472479e8b7153c1e0df4.png-1.jpg,calli
face_dataset\raora\d52ab4352cfce7aca867982f9640a2b9.jpg-1.jpg,raora
face_dataset\irys\0fc489c5626a8a846fcd8796a8328cbb.jpg-2.jpg,irys
face_dataset\gigi\1bf044bee85c75e25cbb00de778a0105.png-1.jpg,gigi
face_dataset\mococo\0d6fcfae45396ec49d760d92a8b21733.jpg-1.jpg,mococo
face_dataset\fauna\3f9e6c9d6fc3d2e16a4ca50f08070886.jpg-1.jpg,fauna
face_dataset\irys\0f113e76fd8adf799787923be19b1f6a.png-1.jpg,irys
face_dataset\mococo\4d3c61c6770897cd462cc762860cbfb2.jpg-6.jpg,mococo
face_dataset\kronii\93f611da0a88c4434447e765888f3336.jpg-1.jpg,kronii
face_dataset\biboo\bf8fbc02c9ced74d0d23bcbd7b757206.jpg-1.jpg,biboo
face_dataset\gura\c291be8b8b46f7b50506d5674f187727.jpg-1.jpg,gura
face_dataset\fauna\2d65c9229ac29fc12fd5067e1437184d.jpg-1.jpg,fauna
face_dataset\raora\394f89496123afa27e17421900bd9e29.png-1.jpg,raora
face_dataset\kiara\5de0ea294ffad4d14dce3d8f59129a49.jpg-1.jpg,kiara
face_dataset\mumei\75d9ae0380cdf5e8a06bf8c04bd29206.jpg-1.jpg,mumei
face_dataset\mumei\04f83f3f182f25f85bd6c6eac5213be8.jpg-1.jpg,mumei
face_dataset\ceci\e760e4acd4100d28714d0f886028a8ee.jpg-1.jpg,ceci
face_dataset\ceci\8283941e4b0a9b8ec45b2407e1404217.jpg-1.jpg,ceci
face_dataset\ceci\b59de4aaee597ef0f927fa5d10dcc230.png-1.jpg,ceci
face_dataset\calli\31b4bbfd221f915d95075f69ccd06034.jpg-1.jpg,calli
face_dataset\shiori\07acab7a16a6bd670a7c5c266d654c57.jpg-2.jpg,shiori
face_dataset\nerissa\ef9328b2226e0892242dbd9565978bf2.jpg-3.jpg,nerissa
face_dataset\biboo\e14bcafa4042befb01d7ca02ff5914cb.jpg-1.jpg,biboo
